,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO220535,33.33,0.0,0.0,66.67,0.0,0.0,Kidney-ChRCC
DO220351,14.29,28.57,28.57,0.0,0.0,28.57,Kidney-ChRCC
DO220352,0.0,40.0,20.0,0.0,40.0,0.0,Kidney-ChRCC
DO220334,20.0,20.0,20.0,0.0,0.0,40.0,Kidney-ChRCC
DO220362,10.0,0.0,20.0,0.0,30.0,40.0,Kidney-ChRCC
DO220490,25.0,0.0,0.0,0.0,0.0,75.0,Kidney-ChRCC
DO220361,0.0,0.0,11.11,0.0,0.0,88.89,Kidney-ChRCC
DO220549,0.0,0.0,0.0,0.0,100.0,0.0,Kidney-ChRCC
DO220556,0.0,0.0,0.0,0.0,50.0,50.0,Kidney-ChRCC
DO220339,0.0,18.18,9.09,0.0,27.27,45.45,Kidney-ChRCC
DO220525,0.0,33.33,33.33,0.0,0.0,33.33,Kidney-ChRCC
DO220474,,,,,,,Kidney-ChRCC
DO220510,16.67,0.0,0.0,8.33,41.67,33.33,Kidney-ChRCC
DO220509,0.0,33.33,33.33,0.0,33.33,0.0,Kidney-ChRCC
DO220342,0.0,33.33,0.0,0.0,0.0,66.67,Kidney-ChRCC
DO220358,0.0,50.0,50.0,0.0,0.0,0.0,Kidney-ChRCC
DO220423,0.0,0.0,14.29,0.0,71.43,14.29,Kidney-ChRCC
DO220356,,,,,,,Kidney-ChRCC
DO220577,0.0,12.5,0.0,0.0,25.0,62.5,Kidney-ChRCC
DO220359,0.0,0.0,0.0,0.0,16.67,83.33,Kidney-ChRCC
DO220333,0.0,0.0,14.29,0.0,42.86,42.86,Kidney-ChRCC
DO220478,0.0,0.0,20.0,0.0,20.0,60.0,Kidney-ChRCC
DO220433,0.0,0.0,50.0,0.0,16.67,33.33,Kidney-ChRCC
DO220439,33.33,16.67,16.67,0.0,0.0,33.33,Kidney-ChRCC
DO220354,42.86,0.0,0.0,14.29,14.29,28.57,Kidney-ChRCC
DO220360,0.0,0.0,40.0,0.0,60.0,0.0,Kidney-ChRCC
DO220554,0.0,0.0,0.0,0.0,0.0,100.0,Kidney-ChRCC
DO220341,0.0,0.0,0.0,33.33,0.0,66.67,Kidney-ChRCC
DO220340,50.0,0.0,0.0,25.0,25.0,0.0,Kidney-ChRCC
DO220357,0.0,66.67,0.0,0.0,0.0,33.33,Kidney-ChRCC
DO220348,0.0,0.0,25.0,0.0,50.0,25.0,Kidney-ChRCC
DO220449,0.0,0.0,50.0,0.0,50.0,0.0,Kidney-ChRCC
DO220335,0.0,16.67,0.0,0.0,33.33,50.0,Kidney-ChRCC
DO220349,18.18,9.09,0.0,0.0,36.36,36.36,Kidney-ChRCC
DO220350,33.33,0.0,0.0,0.0,66.67,0.0,Kidney-ChRCC
DO220331,0.0,0.0,20.0,0.0,20.0,60.0,Kidney-ChRCC
DO222286,14.29,0.0,14.29,0.0,42.86,28.57,Stomach-AdenoCA
DO38791,6.45,12.9,0.0,0.0,25.81,54.84,Stomach-AdenoCA
DO217867,0.0,20.0,20.0,10.0,20.0,30.0,Stomach-AdenoCA
DO38388,18.75,6.25,6.25,6.25,25.0,37.5,Stomach-AdenoCA
DO38423,14.06,29.69,9.38,0.0,20.31,26.56,Stomach-AdenoCA
DO38547,14.1,15.38,7.69,5.13,34.62,23.08,Stomach-AdenoCA
DO38190,4.0,4.0,8.0,4.0,20.0,60.0,Stomach-AdenoCA
DO218547,5.56,13.89,5.56,0.0,36.11,38.89,Stomach-AdenoCA
DO218442,5.0,10.0,5.0,0.0,20.0,60.0,Stomach-AdenoCA
DO218223,12.5,8.33,25.0,4.17,12.5,37.5,Stomach-AdenoCA
DO47859,9.76,12.2,12.2,0.0,12.2,53.66,Stomach-AdenoCA
DO218136,14.06,21.88,3.12,3.12,26.56,31.25,Stomach-AdenoCA
DO38671,9.09,4.55,13.64,4.55,13.64,54.55,Stomach-AdenoCA
DO38229,0.0,15.38,15.38,0.0,38.46,30.77,Stomach-AdenoCA
DO218728,4.0,12.0,4.0,0.0,16.0,64.0,Stomach-AdenoCA
DO218088,16.0,4.0,0.0,4.0,16.0,60.0,Stomach-AdenoCA
DO222276,6.25,6.25,18.75,6.25,12.5,50.0,Stomach-AdenoCA
DO38663,7.66,18.66,11.0,1.91,22.49,38.28,Stomach-AdenoCA
DO38571,13.64,20.45,9.09,0.0,25.0,31.82,Stomach-AdenoCA
DO48040,13.64,9.09,18.18,6.82,22.73,29.55,Stomach-AdenoCA
DO222275,,,,,,,Stomach-AdenoCA
DO218282,7.69,38.46,23.08,0.0,15.38,15.38,Stomach-AdenoCA
DO218517,,,,,,,Stomach-AdenoCA
DO38831,5.0,20.0,0.0,10.0,30.0,35.0,Stomach-AdenoCA
DO38535,0.0,14.71,2.94,2.94,23.53,55.88,Stomach-AdenoCA
DO218769,2.17,10.87,4.35,0.0,26.09,56.52,Stomach-AdenoCA
DO47929,12.5,6.25,6.25,0.0,18.75,56.25,Stomach-AdenoCA
DO38226,13.64,4.55,13.64,4.55,13.64,50.0,Stomach-AdenoCA
DO218019,0.0,0.0,0.0,0.0,100.0,0.0,Stomach-AdenoCA
DO218673,3.45,10.34,20.69,3.45,27.59,34.48,Stomach-AdenoCA
